CapRate_ClassA_Stab_High,CapRate_ClassA_Stab_Low,CapRate_ClassA_Stab_Range,CapRate_ClassA_VA_High,CapRate_ClassA_VA_Low,CapRate_ClassA_VA_Range,CapRate_ClassB_Stab_High,CapRate_ClassB_Stab_Low,CapRate_ClassB_Stab_Range,CapRate_ClassB_VA_High,CapRate_ClassB_VA_Low,CapRate_ClassC_Stab_High,CapRate_ClassC_Stab_Low,CapRate_ClassC_Stab_Range,CapRate_Data_Source,CapRate_Notes,CapRate_Overall_Market,CapRate_Source_Verified,CapRate_Trend,Investor_Demand,MSA,Market_Tier,Typical_Price_Per_Unit_ClassB_USD,Typical_Price_Per_Unit_USD
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.25,6.75,6.75% - 7.25%,7.75,7.25,8.0,7.5,7.50% - 8.00%,Marcus & Millichap H2 2025,University-driven rental demand supports steady investor interest despite smaller market size.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Athens, GA",Tertiary,70000.0,85000
5.0,4.5,4.75% - 5.25%,5.0,4.5,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Major Sun Belt primary market with strong fundamentals and very high investor demand.,5.0,CBRE H2 2025 Survey (Verified),Stable,Very High,"Atlanta, GA",Primary,,160000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary market with limited investor demand and higher risk premiums.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Atlantic City, NJ",Secondary,,95000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,CBRE,Mid-secondary market with steady investor interest and moderate cap rates.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Augusta, GA",Secondary,,85000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.25,7.75,7.75% - 8.25%,CoStar H2 2025,Limited multifamily development and modest economic growth keep cap rates elevated.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Augusta, ME",Tertiary,50000.0,60000
4.75,4.25,4.75% - 5.25%,5.0,4.25,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,JLL,Strong Sun Belt primary market with tight cap rates and robust investor demand.,5.0,CBRE H2 2025 Survey (Verified),Stable,Very High,"Austin, TX",Primary,,230000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CoStar,Secondary California market with moderate investor interest and slightly expanding cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Bakersfield, CA",Secondary,,120000
5.75,5.25,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Established secondary market with stable cap rates and balanced investor demand.,5.5,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Baltimore, MD",Primary,,140000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,Marcus & Millichap,Tertiary New England market with limited liquidity and expanding cap rates.,7.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Bangor, ME",Tertiary,,65000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,JLL,Mid-secondary Southern market with steady investor demand and stable cap rates.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Baton Rouge, LA",Secondary,,90000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,8.75,8.25,8.25% - 8.75%,Marcus & Millichap H2 2025,Economic challenges and population decline pressure cap rates higher.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Bay City, MI",Tertiary,40000.0,45000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary Texas market with limited investor interest and expanding cap rates.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Beaumont, TX",Secondary,,70000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Strong secondary Pacific Northwest market with stable cap rates and solid investor demand.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Bellingham, WA",Secondary,,180000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,Growing secondary market with moderate investor interest and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Bend, OR",Secondary,,160000
5.25,4.75,4.75% - 5.25%,5.5,5.0,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.0,5.5,6.5,6.0,6.00% - 6.50%,CBRE H2 2025,Strong government and tech sector presence supports robust investor demand.,5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Bethesda, MD",Primary,240000.0,350000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,Marcus & Millichap,Tertiary Rocky Mountain market with limited liquidity and expanding cap rates.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Billings, MT",Secondary,,85000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap H2 2025,Tourism-driven economy with limited multifamily scale keeps cap rates elevated.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Biloxi, MS",Tertiary,50000.0,60000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.75,7.25,7.25% - 7.75%,8.25,7.75,,,,CoStar,Tertiary upstate New York market with weak investor demand and rising cap rates.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Binghamton, NY",Tertiary,,60000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,JLL H2 2025,Growing tech and healthcare sectors support steady multifamily investment demand.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Birmingham, AL",Secondary,85000.0,110000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,Market sees moderate investor interest with cap rates expanding due to economic uncertainty.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Birmingham-Hoover, AL",Tertiary,,95000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CoStar,Smaller tertiary market with stable cap rates and limited investor activity.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Bismarck, ND",Tertiary,,85000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,Marcus & Millichap H2 2025,University town with stable rental demand but limited market size.,7.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Blacksburg, VA",Tertiary,60000.0,75000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,JLL,Mid-secondary market with cap rates expanding amid moderate investor demand.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Bloomington, IL",Tertiary,,90000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong Sun Belt market with stable cap rates and robust investor demand.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Boise City, ID",Tertiary,,160000
5.25,4.75,5.25% - 5.75%,5.5,5.0,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,7.5,7.0,7.00% - 7.50%,CBRE H2 2025,Strong population growth and tech sector expansion drive investor interest.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,"Boise, ID",Secondary,130000.0,180000
4.75,4.5,4.50% - 4.75%,5.5,4.75,4.75% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,6.75,6.25,6.25% - 6.75%,CBRE H2 2025,Robust demand fueled by strong employment and limited new supply.,4.9,CBRE H2 2025 Survey (Verified),Stable,Very High,"Boston, MA",Primary,280000.0,400000
4.75,4.5,4.50% - 4.75%,5.5,4.75,4.75% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Gateway market with tight cap rates and very strong investor demand.,4.9,AI Research (CBRE/M&M/JLL calibrated),Stable,Very High,"Boston-Cambridge-Newton, MA-NH",Tertiary,,350000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,Marcus & Millichap,Strong secondary market with stable cap rates supported by tech and university demand.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Boulder, CO",Secondary,,280000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.5,7.0,7.00% - 7.50%,8.0,7.5,,,,CoStar,Tertiary market with expanding cap rates and limited investor interest.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Bowling Green, KY",Tertiary,,70000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Strong secondary market with stable cap rates driven by lifestyle demand.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Bozeman, MT",Secondary,,220000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,Marcus & Millichap H2 2025,Proximity to NYC supports steady demand despite some economic headwinds.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Bridgeport, CT",Secondary,100000.0,140000
5.25,4.75,4.75% - 5.25%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Coastal secondary market with stable cap rates and strong investor interest.,5.1,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Bridgeport-Stamford-Norwalk, CT",Tertiary,,270000
7.75,7.25,7.25% - 7.75%,8.5,8.0,8.00% - 8.50%,8.5,8.0,8.00% - 8.50%,9.0,8.5,9.5,9.0,9.00% - 9.50%,Marcus & Millichap H2 2025,Limited investor interest with stable cap rates due to smaller market size and economic constraints.,7.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Brownsville, TX",Tertiary,65000.0,85000
7.5,7.0,7.00% - 7.50%,8.25,7.75,7.75% - 8.25%,8.25,7.75,7.75% - 8.25%,8.75,8.25,9.25,8.75,8.75% - 9.25%,CoStar Q1 2026,Stable cap rates with modest investor interest driven by coastal proximity but limited market scale.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Brunswick, GA",Tertiary,70000.0,90000
6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,6.75,6.25,6.25% - 6.75%,7.25,6.75,7.75,7.25,7.25% - 7.75%,CBRE H2 2025,Steady demand with cap rates reflecting secondary market status and moderate economic growth.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Buffalo, NY",Secondary,85000.0,110000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,Marcus & Millichap,Secondary Rust Belt market with expanding cap rates amid moderate demand.,6.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Buffalo-Cheektowaga-Niagara Falls, NY",Tertiary,,90000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Stable secondary market with steady investor interest and moderate cap rates.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Burlington, VT",Tertiary,,180000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CoStar,Emerging market with expanding cap rates and moderate investor demand.,6.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Camden, NJ",Tertiary,,85000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,CoStar,Tertiary market with limited investor interest and higher risk premiums.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Canton, OH",Tertiary,,65000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,Marcus & Millichap,Growing Sun Belt market with steady investor interest and moderate cap rates.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Cape Coral, FL",Secondary,,140000
7.25,6.75,6.75% - 7.25%,7.75,7.25,7.25% - 7.75%,7.75,7.25,7.25% - 7.75%,8.25,7.75,8.75,8.25,8.25% - 8.75%,Marcus & Millichap Q1 2026,Cap rates expanding due to limited liquidity and economic uncertainty in smaller Nevada market.,7.25,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Carson City, NV",Tertiary,70000.0,95000
7.5,7.0,7.00% - 7.50%,8.25,7.5,7.50% - 8.25%,8.25,7.5,7.50% - 8.25%,9.0,8.25,,,,CoStar,Small tertiary market with very limited investor activity and elevated risk.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Casper, WY",Tertiary,,45000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,JLL,Mid-secondary market with balanced fundamentals and steady investor interest.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Cedar Rapids, IA",Secondary,,85000
6.5,6.0,6.00% - 6.50%,7.0,6.5,6.50% - 7.00%,7.0,6.5,6.50% - 7.00%,7.5,7.0,,,,Marcus & Millichap,University-driven market with consistent demand and moderate cap rates.,6.25,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Champaign, IL",Tertiary,,90000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Strong Sun Belt market with robust investor demand and stable cap rates.,5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Charleston, SC",Secondary,,160000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,CoStar,Tertiary market with limited liquidity and expanding cap rates.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Low,"Charleston, WV",Tertiary,,55000
5.0,4.5,4.75% - 5.25%,5.25,4.75,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Major Sun Belt primary market with strong investor demand and tight cap rates.,5.0,CBRE H2 2025 Survey (Verified),Stable,Very High,"Charlotte, NC",Primary,,190000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,JLL,Smaller secondary market with steady fundamentals and moderate investor interest.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Charlottesville, VA",Secondary,,120000
6.0,5.5,5.50% - 6.00%,6.5,6.0,6.00% - 6.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,Marcus & Millichap,Growing secondary market with balanced cap rates and steady investor demand.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Chattanooga, TN",Secondary,,95000
5.5,5.0,5.00% - 5.50%,6.0,5.5,5.50% - 6.00%,6.0,5.5,5.50% - 6.00%,6.5,6.0,,,,CBRE,Part of the Hampton Roads metro with strong fundamentals and stable cap rates.,5.25,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Chesapeake, VA",Tertiary,,135000
7.5,7.0,7.00% - 7.50%,8.25,7.5,7.50% - 8.25%,8.25,7.5,7.50% - 8.25%,9.0,8.25,,,,CoStar,Small tertiary market with very limited investor activity and elevated cap rates.,7.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Very Low,"Cheyenne, WY",Tertiary,,40000
5.5,5.25,5.25% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,,,,CBRE,Market remains stable with steady investor interest in core and value-add assets.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,"Chicago, IL",Primary,,190000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Smaller tertiary market with cap rates expanding due to economic uncertainty.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Chico, CA",Tertiary,,130000
5.75,5.5,5.50% - 5.75%,5.5,5.0,5.00% - 5.50%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Strong secondary market with consistent investor demand and stable cap rates.,5.75,CBRE H2 2025 Survey (Verified),Stable,High,"Cincinnati, OH",Primary,,140000
6.5,6.0,6.00% - 6.50%,7.25,6.5,6.50% - 7.25%,7.75,7.0,7.00% - 7.75%,8.25,7.5,,,,Marcus & Millichap,Tertiary market with cap rates expanding amid moderate investor interest.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Clarksville, TN",Tertiary,,110000
5.75,5.25,5.25% - 5.75%,6.0,5.0,5.00% - 6.00%,6.5,6.0,6.00% - 6.50%,7.0,6.5,,,,CBRE,Steady secondary market with balanced cap rates and moderate investor activity.,5.75,CBRE H2 2025 Survey (Verified),Stable,Moderate,"Cleveland, OH",Primary,,120000
7.0,6.5,6.50% - 7.00%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.0,7.5,8.5,8.0,8.00% - 8.50%,JLL H2 2025,Stable cap rates supported by growing population but limited institutional investor presence.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Coeur d'Alene, ID",Tertiary,80000.0,105000
5.5,5.0,5.00% - 5.50%,6.25,5.5,5.50% - 6.25%,6.5,6.0,6.00% - 6.50%,7.25,6.5,,,,JLL,Growing Sun Belt market with strong investor demand and stable cap rates.,5.5,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Colorado Springs, CO",Secondary,,180000
6.5,6.0,6.00% - 6.50%,7.25,6.5,6.50% - 7.25%,7.75,7.0,7.00% - 7.75%,8.25,7.5,,,,Marcus & Millichap,Smaller tertiary market with expanding cap rates due to limited investor activity.,6.5,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Columbia, MO",Tertiary,,105000
6.0,5.5,5.50% - 6.00%,6.75,6.0,6.00% - 6.75%,7.25,6.5,6.50% - 7.25%,8.0,7.25,,,,JLL,Secondary Sun Belt market with stable cap rates and moderate investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Columbia, SC",Secondary,,130000
7.5,7.0,7.00% - 7.50%,8.0,7.5,7.50% - 8.00%,8.0,7.5,7.50% - 8.00%,8.5,8.0,9.0,8.5,8.50% - 9.00%,CoStar Q1 2026,Stable but elevated cap rates reflecting smaller market size and limited multifamily product.,7.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Low,"Columbus, GA",Tertiary,60000.0,80000
5.75,5.25,5.25% - 5.75%,6.25,5.75,5.75% - 6.25%,6.75,6.25,6.25% - 6.75%,7.25,6.75,,,,CBRE,Strong secondary market with consistent investor demand and stable cap rates.,5.75,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Columbus, OH",Secondary,,140000
6.0,5.5,5.50% - 6.00%,6.75,6.0,6.00% - 6.75%,7.25,6.5,6.50% - 7.25%,8.0,7.25,,,,Marcus & Millichap,Northeast tertiary market with cap rates expanding amid moderate investor interest.,6.0,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Concord, NH",Tertiary,,125000
6.25,5.75,5.75% - 6.25%,7.0,6.25,6.25% - 7.00%,7.5,6.75,6.75% - 7.50%,8.0,7.25,,,,Marcus & Millichap,Smaller Sun Belt market with expanding cap rates due to economic headwinds.,6.25,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Corpus Christi, TX",Secondary,,115000
6.75,6.25,6.25% - 6.75%,7.25,6.75,6.75% - 7.25%,7.25,6.75,6.75% - 7.25%,7.75,7.25,8.25,7.75,7.75% - 8.25%,CBRE H2 2025,Stable cap rates supported by university presence and limited multifamily supply.,6.75,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Corvallis, OR",Tertiary,90000.0,120000
4.75,4.25,4.50% - 5.00%,5.0,4.5,5.00% - 5.50%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Robust Sun Belt primary market with very high investor demand and tight cap rates.,4.9,CBRE H2 2025 Survey (Verified),Stable,Very High,"Dallas-Fort Worth, TX",Primary,,220000
6.75,6.25,6.25% - 6.75%,7.5,7.0,7.00% - 7.50%,7.5,7.0,7.00% - 7.50%,8.25,7.5,,,,Marcus & Millichap,Smaller secondary market with moderate investor interest and elevated cap rates due to limited liquidity.,6.75,AI Research (CBRE/M&M/JLL calibrated),Expanding,Moderate,"Davenport, IA",Secondary,,85000
6.5,6.0,6.00% - 6.50%,7.25,6.5,6.50% - 7.25%,7.25,6.75,6.75% - 7.25%,7.75,7.25,,,,CBRE,Steady demand with cap rates reflecting mid-secondary market dynamics and moderate investor appetite.,6.5,AI Research (CBRE/M&M/JLL calibrated),Stable,Moderate,"Dayton, OH",Secondary,,90000
6.0,5.5,5.50% - 6.00%,6.75,6.0,6.00% - 6.75%,6.5,6.0,6.00% - 6.50%,7.25,6.5,,,,JLL,Sun Belt tertiary market with strong investor interest and stable cap rates supported by population growth.,5.9,AI Research (CBRE/M&M/JLL calibrated),Stable,High,"Daytona Beach, FL",Tertiary,,130000
5.0,4.5,4.75% - 5.25%,5.25,4.75,5.25% - 5.75%,5.75,5.25,5.25% - 5.75%,6.25,5.75,,,,CBRE,Strong primary Sun Belt market with high investor demand but slight cap rate expansion due to rising interest rates.,5.1,CBRE H2 2025 Survey (Verified),Expanding,Very High,"Denver, CO",Primary,,280000
