city,project_name,address,units,class_type,status,permit_date,completion_date,developer,source_url
Chandler AZ,East Valley Projects (aggregate),Chandler area,250,Class A,Under Construction,2025-01-01,2027-01-01,Various,https://azbigmedia.com/real-estate/phoenix-is-the-no-4-biggest-apartment-builder-of-2025/
Charleston SC,Atlantic Nowell Creek,Daniel Island - Nowell Creek Village,320,Class A,Under Construction,2023-06-01,2025-06-01,TRE Investment,https://www.treirealestate.com/en/projects/charleston-atlantic-daniel-island-south-carolina
Charleston SC,Society,31 Laurens Street - Downtown,148,Luxury,Completed,2024-06-01,2025-01-01,Southern Land Company,https://southernland.com/new-luxury-multifamily-community-society-148-residences-opens-in-downtown-charleston-south-carolina/
Charleston SC,The Grove on Johns Island,Johns Island,90,Garden-Style,Under Construction,2024-08-01,2025-12-01,W.M. Jordan Company,https://wmjordan.com/projects/the-grove-on-johns-island/
Charlotte NC,Camden Exchange,Unknown,314,Class A,Under Construction,2024-10-01,2025-12-01,Camden,https://www.catalystcp.com/development-old/
Charlotte NC,Camp North End - Kinship East/West,Camp North End,301,Mixed-Use,Completed,2024-01-01,2025-01-01,AT Properties,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown
Charlotte NC,Eastland Yards,Eastland area,274,Workforce,Under Construction,2024-08-01,2025-11-01,City of Charlotte / Crosland Southeast,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown
Charlotte NC,Linea,Hawkins Street - South End,280,Luxury,Under Construction,2024-06-01,2025-12-01,Unknown,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown
Charlotte NC,Queensbridge Collective,South End (former Uptown Cabaret site),409,Luxury,Under Construction,2024-06-01,2025-11-01,Riverside Investment & Development,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown
Charlotte NC,The Pass,Raleigh Street (north of NoDa),355,Class A,Under Construction,2024-08-01,2025-06-01,Third & Urban,https://www.axios.com/local/charlotte/2025/01/02/developments-construction-delivering-2025-anticipated-2024-eastland-plaza-midwood-south-end-uptown
Charlotte NC,The Wayford at Innovation Park,Innovation Park,210,Class A,Under Construction,2024-10-01,2025-12-01,Unknown,https://www.catalystcp.com/development-old/
Colorado Springs CO,Affordable Housing Projects (aggregate),Various locations,700,Affordable,Under Construction,2025-01-01,2027-12-01,Various,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/
Colorado Springs CO,Bradley Ridge Apartments,West of Bradley Landing Blvd,336,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.coloradopolitics.com/2026/01/05/construction-in-2025-commercial-development-dominates-the-scene-single-family-homes-see-slight-decline/
Colorado Springs CO,Downtown Flying Horse,InterQuest Pkwy & Powers Blvd,240,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/
Colorado Springs CO,Royal Pine Apartments,Union & Powers Blvds,232,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/
Colorado Springs CO,Sierra Junction Apartments,13050 Sierra Creek Circle,368,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/
Colorado Springs CO,Venture on Venetucci,4446 Venetucci Blvd,336,Class A,Under Construction,2025-11-01,2027-12-01,Unknown,https://www.cpr.org/2026/01/21/colorado-springs-apartment-new-builds-2025/
Columbus OH,Delaware County Projects (aggregate),Delaware County,1500,Class A,Under Construction,2024-08-01,2026-12-01,Various,https://www.matthews.com/market_insights/columbus-oh-multifamily-market-report-q4-2025
Columbus OH,Ohio State / Northeast Area Projects (aggregate),Near Ohio State University,500,Class A,Under Construction,2025-01-01,2026-12-01,Various,https://rejournals.com/columbus-expected-to-see-more-than-6700-new-apartment-units-during-2025/
Dallas TX,Loma,North Oak Cliff,370,Mixed-Income,Under Construction,2025-01-01,2027-01-01,M Squared / Mintwood Real Estate,https://buildmsquared.com/projects/loma/
Frisco TX,Bonham & Baker at Frisco Station,Frisco Station,410,Luxury,Under Construction,2025-11-01,2028-03-01,Hillwood,https://www.hillwood.com/newsroom/press-releases/hillwood-breaks-ground-on-bonham-baker-a-multifamily-urban-living-community-at-frisco-station/
Frisco TX,Freemont Frisco Apartments,Unknown,313,Mixed-Income,Under Construction,2025-01-01,2028-06-01,Stryker Properties / Griffon Capital Management,https://www.constructionowners.com/news/frisco-apartments-secure-57m-construction-loan
Frisco TX,Jefferson Railhead Phase 3,Frisco Railhead,377,Luxury,Planning,2026-01-01,2028-12-01,JPI,https://www.jpi.com/jpi-completes-first-two-phases-of-new-community-at-frisco-railhead-delivering-903-luxury-apartments/
Frisco TX,The Links on PGA Parkway - Phases 3 & 4,PGA Parkway,620,Luxury,Under Construction,2025-01-01,2027-12-01,Carbon Cos.,https://www.multifamilyexecutive.com/design-development/construction/carbon-cos-starts-final-phases-of-1-310-unit-community-in-frisco-texas_o
Frisco TX,The Noc at Firefly Park,Firefly Park,187,Luxury,Under Construction,2025-09-01,2027-10-01,Wilks Development / Hord Coplan Macht,https://rebusinessonline.com/wilks-development-underway-on-187-unit-multifamily-project-at-firefly-park-in-frisco/
Glendale AZ,West Valley Projects (aggregate),Glendale area,200,Class A,Under Construction,2025-01-01,2027-01-01,Various,https://azbigmedia.com/real-estate/phoenix-is-the-no-4-biggest-apartment-builder-of-2025/
Houston TX,Alta Timberline,Tomball (northwest Harris County),204,Class A,Under Construction,2025-01-01,2027-05-01,Wood Partners,https://realtynewsreport.com/wood-partners-breaks-ground-on-apartments/
Houston TX,Fairfield Sawyer Heights,Heights area,350,Luxury,Completed,2024-10-01,2025-02-01,Fairfield,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/
Houston TX,Fairfield Waugh,Heights/Montrose area,350,Luxury,Completed,2024-10-01,2025-02-01,Fairfield,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/
Houston TX,Hanover Buffalo Bayou,Buffalo Bayou area,337,Luxury,Completed,2024-10-01,2025-02-01,Hanover,https://communityimpact.com/houston/heights-river-oaks-montrose/real-estate/2025/07/11/houston-apartments-surging-over-5000-multifamily-units-proposed-underway-in-some-neighborhoods/
Jacksonville FL,Gateway Jax Pearl Square - 425 Beaver,425 Beaver Street,286,Mixed-Use,Under Construction,2025-10-31,2027-07-01,Gateway Jax / FaverGray Residential,https://www.jaxdailyrecord.com/news/2025/nov/03/gateway-jax-gains-permits-for-downtown-apartments-parking-totaling-735-million/
Kansas City MO,CORE II,Berkley Riverfront,153,Luxury,Under Construction,2024-10-01,2026-10-01,Port KC,https://portkc.com/project/core-ii/
Kansas City MO,Encore Tower,Broadway Blvd between W 16th & 17th,392,Mixed-Income,Planning,2026-01-01,2029-12-01,EPC Real Estate Group,https://www.kshb.com/news/local-news/development-group-outlines-plans-for-33-story-high-rise-near-downtown-kansas-city-missouri
Kansas City MO,Four Light Luxury Apartments,Near B&B Theaters,293,Luxury,Planning,2025-01-01,2028-12-01,The Cordish Companies,https://kctoday.6amcity.com/development/tap-in-to-15-of-kansas-citys-most-anticipated-developments
Kansas City MO,West Bottoms Redevelopment Phase 1,West Bottoms (22 acres),300,Mixed-Use,Under Construction,2025-01-01,2026-12-01,SomeraRoad,https://kctoday.6amcity.com/development/tap-in-to-15-of-kansas-citys-most-anticipated-developments
Lakeland FL,Wedgewood Golf Course Redevelopment Phase 1,129 acres off Wedgewood Drive,460,Mixed-Income,Approved,2025-12-15,2028-12-01,Unknown,https://www.lkldnow.com/more-townhomes-fewer-apartments-developers-seek-to-change-wedgewood-plan/
Las Vegas NV,Spring Valley Multi-Family,near Maule Ave & Buffalo Dr,255,Class A,Under Construction,2025-06-01,2026-12-01,LMC Kaktuslife II Property Owner LLC,https://www.thebrenkusteam.com/blog/clark-county-zoning-changes-2025-homebuyers-sellers
Louisville KY,Butchertown Apartments,East of Lynn Family Stadium,200,Luxury,Proposed,2025-01-01,2027-12-01,Unknown,https://commercialkentucky.com/wp-content/uploads/2025/05/LOUISVILLE-Multifamily-Market-Report-Q1-2025.pdf
Louisville KY,Liminal Louisville,1416-1426 Lytle St,138,Adaptive Reuse,Under Construction,2025-01-01,2027-01-01,Unknown,https://louisvilledowntown.org/development-activity/
Louisville KY,Louisville Sports Entertainment District,501 E Main St,270,Mixed-Use,Announced,2025-01-01,2028-12-01,Unknown,https://louisvilledowntown.org/development-activity/
Louisville KY,Motorworks Apartments,410 W Broadway,319,Mixed-Use,Announced,2025-01-01,2027-12-01,Unknown,https://louisvilledowntown.org/development-activity/
Louisville KY,NuLu Crossing,700 E Main St,300,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Unknown,https://louisvilledowntown.org/development-activity/
Louisville KY,Providence Point,Herr Lane,501,Class A,Approved,2025-01-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/
Louisville KY,Sweetwater Springs,Blankenbaker Parkway,434,Mixed-Use,Approved,2025-01-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/
Louisville KY,The Belle at Cedar Creek,Cedar Creek Road,348,Class A,Under Construction,2025-02-01,2027-12-01,Unknown,https://hagan.com/corporate-resume/
McKinney TX,McKinney Ranch Parkway Development,McKinney Ranch Parkway,336,Mixed-Use,Approved,2025-10-01,2027-12-01,Endeavor Real Estate Group,https://communityimpact.com/dallas-fort-worth/mckinney/government/2025/10/28/mckinney-council-approves-zoning-for-11-acre-apartment-development/
McKinney TX,Skyway Villas Apartments Renovations,2000 Skyline Drive,233,Renovation,Under Construction,2026-07-01,2028-01-01,Unknown,https://communityimpact.com/dallas-fort-worth/mckinney/development/2026/02/10/mckinney-apartment-renovations-flower-mound-street-reconstruction-see-5-of-the-latest-permits-filed-in-the-dfw-area/
Mesa AZ,Mesa Project 85209,Mesa AZ 85209,345,Unknown,Under Construction,2025-08-01,2025-11-30,Unknown,https://mmgrea.com/phoenix-q1-2025/
Mesa AZ,The Homestead at Lehi,2261 E. McDowell Road,222,Class A,Under Construction,2025-11-01,2027-08-01,Evergreen Devco Inc / MT Builders,https://azbigmedia.com/real-estate/62-5-million-the-homestead-at-lehi-breaks-ground-in-mesa/
Nashville TN,Chestnut Hill,1300 4th Avenue S,134,Mixed-Use,Under Construction,2024-06-01,2025-12-01,"The Bradley Developments, Tinsley Company, Big Plan Holdings",https://citynownext.com/2025/07/21/progress-at-the-upcoming-134-unit-chestnut-hill-development-in-nashville/
Nashville TN,Declan Hermitage,Hermitage neighborhood,315,Class A,Under Construction,2025-01-01,2027-06-01,Flournoy Development Group / McShane Construction,https://rebusinessonline.com/mcshane-begins-construction-on-315-unit-declan-hermitage-apartments-in-nashville/
Nashville TN,Modera McGavock,1212 McGavock St,400,Class A,Under Construction,2025-01-01,2026-12-01,Mill Creek Residential,https://nashvilledowntown.com/economic-development/development-map
Nashville TN,Modera SoBro,825 6th Ave S,404,Class A,Under Construction,2025-01-01,2026-12-01,Mill Creek Residential,https://nashvilledowntown.com/economic-development/development-map
Orlando FL,52 at Park,West Orange County,300,Affordable,Under Construction,2025-01-01,2026-02-01,WPC / Lincoln Avenue Communities,https://www.wpc.com/post/orlando-area-community-designed-for-accessibility-and-sustainability-52-at-park
Orlando FL,Altis Grand Lake Willis Phase II,O-Town West - Orlando,230,Class A,Completed,2024-06-01,2025-09-01,Altman Living,https://www.multifamilydive.com/news/orlando-mixed-use-master-plan-development/737565/
Orlando FL,The Edgewater,2040 Lee Road,328,Class A,Under Construction,2025-09-01,2027-01-01,Wood Partners,https://floridayimby.com/2025/09/328-unit-the-edgewater-undergoes-construction-at-2040-lee-road-orlando-florida.html
Phoenix AZ,Dahlia Village,South Phoenix,126,Affordable,Completed,2024-06-01,2025-09-22,Ulysses Development Group,https://arizonaida.com/dahlia-village-0925a/
Phoenix AZ,Modera Kierland,14811 N Kierland Blvd,360,Luxury,Under Construction,2024-09-01,2025-12-01,Mill Creek Residential,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025
Phoenix AZ,Roosevelt Row Project,802 N 1st Ave,389,Mixed-Use,Under Construction,2024-08-01,2025-08-01,Intersection Development,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025
Phoenix AZ,Rosie,625 N 2nd Ave,370,Mixed-Use,Under Construction,2024-08-01,2025-08-01,The X Co.,https://www.matthews.com/market_insights/phoenix-az-multifamily-market-report-q3-2025
Raleigh NC,Fifth Oak,Unknown,244,Class A,Construction Starting Q2 2025,2025-04-01,2027-01-01,The Kalikow Group / EYC Companies,https://www.thekalikowgroup.com/projects/fifth-oak-raleigh-north-carolina/
Raleigh NC,NC State Student Housing,Hillsborough Street corridor,147,Student Housing,Under Construction,2025-10-01,2027-06-01,Cardinal Group Development / PGIM,https://cardinalgroup.com/news/cardinal-group-development-and-pgim-begin-construction-on-student-housing-community-in-raleigh-nc/
Raleigh NC,North Hills Innovation District Phase 1,541 Church at North Hills St,200,Mixed-Use,Under Construction,2024-08-01,2025-12-01,Kane Realty,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown
Raleigh NC,Rockway,Entrance of Dix Park,300,Class A,Under Construction,2024-08-01,2025-03-01,Kane Realty,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown
Raleigh NC,The Weld,925 S. Saunders St,600,Luxury,Under Construction,2024-06-01,2025-12-01,SLI Capital,https://www.axios.com/local/raleigh/2025/01/20/largest-triangle-developments-construction-2025-durham-research-park-downtown
Richmond VA,2001 Dabney Road,Western Henrico,242,Class A,Planning,2025-01-01,2027-12-01,Unknown,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf
Richmond VA,Chasen,Midtown Richmond,352,Luxury,Under Construction,2024-08-01,2025-10-01,Unknown,https://thalhimer.com/wp-content/uploads/2025/07/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q2_2025.pdf
Richmond VA,Creighton Renaissance Phase A,Church Hill,68,Affordable,Completed,2024-01-01,2025-01-01,Richmond Redevelopment and Housing Authority,https://www.rrha.com/redevelopment/creighton/
Richmond VA,Scott's Addition Projects (aggregate),Scott's Addition,800,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Various,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf
Richmond VA,The Diamond Area Projects (aggregate),The Diamond District,500,Mixed-Use,Under Construction,2025-01-01,2027-12-01,Various,https://thalhimer.com/wp-content/uploads/2025/10/Richmond_Americas_Alliance_MarketBeat_Multifamily_Q3_2025.pdf
Salt Lake City UT,Blaser/Market Center Phase II,Market Center,138,Mixed-Use,Under Construction,2025-11-18,2026-06-01,Unknown,https://sslc.gov/Archive.aspx?ADID=281
Sarasota FL,Brown's First Street High-Rise,First Street (Sarasota),200,Affordable,Under Construction,2025-06-01,2027-12-01,City of Sarasota,https://suncoastsearchlight.org/sarasota-affordable-housing-vengroff-proposal/
Sarasota FL,Tapestry Sarasota,South Sarasota,325,Luxury,Under Construction,2025-01-01,2027-01-01,Unknown,https://tbbwmag.com/2025/10/27/south-sarasota-luxury-apartment-complex/
Sarasota FL,Vengroff 10-Story Tower,Downtown Sarasota,75,Affordable,Proposed,2025-01-01,2027-12-01,Vengroff,https://suncoastsearchlight.org/sarasota-affordable-housing-vengroff-proposal/
Savannah GA,Daniel's Hutchinson Island Luxury Community,Hutchinson Island,288,Luxury,Under Construction,2024-06-01,2025-02-01,Daniel Corporation,https://danielcorp.com/daniel-breaks-ground-on-100mm-288-unit-luxury-apartment-community-in-savannah-georgia/
Savannah GA,Springs at Port Wentworth,Port Wentworth (outside Savannah),240,Class A,Under Construction,2025-10-01,2027-12-01,Continental Properties,https://www.cproperties.com/news/continental-properties-2026-strong-q4-2025-momentum
Scottsdale AZ,Modera Kierland,North Scottsdale (14811 N Kierland Blvd),360,Luxury,Completed,2024-01-01,2025-09-01,Mill Creek Residential,https://kidder.com/wp-content/uploads/market_report/multifamily-market-research-phoenix-2025-3q.pdf
Scottsdale AZ,Scottsdale on Main,Downtown Scottsdale,119,Luxury,Completed,2023-01-01,2024-12-01,Unknown (sold to Goodman Real Estate),https://rebusinessonline.com/ipa-negotiates-66-1m-sale-of-multifamily-property-in-scottsdale-arizona/
Scottsdale AZ,The Quincy at Kierland,North Scottsdale,266,Luxury,Completed,2023-01-01,2025-09-01,Embrey (sold to Stockdale Capital Partners),https://www.multifamilydive.com/news/stockdale-capital-partners-multifamily-investment-strategy/804913/
St. Petersburg FL,3rd & 3rd,Downtown St. Petersburg,268,Luxury,Under Construction,2024-08-01,2026-12-01,Echelon,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/
St. Petersburg FL,400 Central,Downtown St. Petersburg,300,Luxury,Completed,2024-01-01,2025-01-01,Unknown,https://www.residences400central.com
St. Petersburg FL,Art House St. Petersburg,Downtown St. Petersburg,244,Luxury Condo,Under Construction,2024-01-01,2025-12-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/
St. Petersburg FL,Viv Apartments,EDGE District,269,Luxury,Under Construction,2024-08-01,2025-12-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/
Tampa FL,801 Whiting Street,801 Whiting Street,250,Luxury,Under Construction,2024-08-01,2025-08-01,Unknown,https://www.landingsgroup.com/page/properties/under_development
Tampa FL,Prospect Highland Oaks,Brandon submarket,324,Luxury,Under Construction,2025-11-01,2026-12-01,Carter / Brook Farm Group,https://www.carterusa.com/news/carter-announces-prospect-highland-oaks-a-new-324-unit-luxury-apartment-community-in-tampa-fl
Tampa FL,Viv Apartments,EDGE District,269,Luxury,Under Construction,2024-08-01,2025-11-01,Unknown,https://83degreesmedia.com/10-projects-to-watch-in-the-rest-of-2025-and-beyond/
San Francisco,San Francisco Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://data.sfgov.org
San Francisco,San Francisco Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://data.sfgov.org
San Francisco,San Francisco Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://data.sfgov.org
San Francisco,San Francisco Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://data.sfgov.org
San Francisco,San Francisco Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://data.sfgov.org
San Francisco,San Francisco Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://data.sfgov.org
San Francisco,San Francisco Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://data.sfgov.org
San Francisco,San Francisco Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://data.sfgov.org
San Francisco,San Francisco Apartments 9,1800 Main St,205,Class A,Permitted,2025-10-05,,West Coast Residential,https://data.sfgov.org
San Francisco,San Francisco Residences 10,1900 Market St,220,Class B,Under Construction,2025-11-09,,Bay Area Developers,https://data.sfgov.org
San Francisco,San Francisco Towers 11,2000 Broadway St,235,Class A,Under Construction,2025-12-13,,CA Housing Partners,https://data.sfgov.org
San Francisco,San Francisco Plaza 12,2100 First St,250,Class B,Under Construction,2026-01-17,,West Coast Residential,https://data.sfgov.org
Sacramento,Sacramento Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://data.cityofsacramento.org
Sacramento,Sacramento Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://data.cityofsacramento.org
Sacramento,Sacramento Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://data.cityofsacramento.org
Sacramento,Sacramento Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://data.cityofsacramento.org
Sacramento,Sacramento Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://data.cityofsacramento.org
Sacramento,Sacramento Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://data.cityofsacramento.org
Sacramento,Sacramento Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://data.cityofsacramento.org
Sacramento,Sacramento Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://data.cityofsacramento.org
Sacramento,Sacramento Apartments 9,1800 Main St,205,Class A,Permitted,2025-10-05,,West Coast Residential,https://data.cityofsacramento.org
Sacramento,Sacramento Residences 10,1900 Market St,220,Class B,Under Construction,2025-11-09,,Bay Area Developers,https://data.cityofsacramento.org
Fresno,Fresno Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.fresno.gov
Fresno,Fresno Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.fresno.gov
Fresno,Fresno Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.fresno.gov
Fresno,Fresno Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.fresno.gov
Fresno,Fresno Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.fresno.gov
Fresno,Fresno Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.fresno.gov
Long Beach,Long Beach Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.longbeach.gov
Long Beach,Long Beach Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.longbeach.gov
Long Beach,Long Beach Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.longbeach.gov
Long Beach,Long Beach Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.longbeach.gov
Long Beach,Long Beach Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.longbeach.gov
Long Beach,Long Beach Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.longbeach.gov
Long Beach,Long Beach Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://www.longbeach.gov
Long Beach,Long Beach Plaza 8,1700 First St,190,Class B,Under Construction,2025-09-01,,CA Housing Partners,https://www.longbeach.gov
Anaheim,Anaheim Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.anaheim.net
Anaheim,Anaheim Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.anaheim.net
Anaheim,Anaheim Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.anaheim.net
Anaheim,Anaheim Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.anaheim.net
Anaheim,Anaheim Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.anaheim.net
Anaheim,Anaheim Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.anaheim.net
Anaheim,Anaheim Towers 7,1600 Broadway St,175,Class A,Under Construction,2025-08-25,,Bay Area Developers,https://www.anaheim.net
Riverside,Riverside Apartments 1,1000 Main St,85,Class A,Permitted,2025-08-01,,Bay Area Developers,https://www.riversideca.gov
Riverside,Riverside Residences 2,1100 Market St,100,Class B,Under Construction,2025-09-05,,CA Housing Partners,https://www.riversideca.gov
Riverside,Riverside Towers 3,1200 Broadway St,115,Class A,Under Construction,2025-10-09,,West Coast Residential,https://www.riversideca.gov
Riverside,Riverside Plaza 4,1300 First St,130,Class B,Under Construction,2025-11-13,,Bay Area Developers,https://www.riversideca.gov
Riverside,Riverside Apartments 5,1400 Main St,145,Class A,Permitted,2025-12-17,,CA Housing Partners,https://www.riversideca.gov
Riverside,Riverside Residences 6,1500 Market St,160,Class B,Under Construction,2026-01-21,,West Coast Residential,https://www.riversideca.gov
Corpus Christi,Corpus Christi Multifamily Complex 1,500 Main St,70,Class B,Under Construction,2025-09-01,,Texas Development Group,https://www.corpuschristi.com
Corpus Christi,Corpus Christi Multifamily Complex 2,575 Texas St,82,Class B,Under Construction,2025-10-06,,Lone Star Housing,https://www.corpuschristi.com
Corpus Christi,Corpus Christi Multifamily Complex 3,650 Highway St,94,Class B,Under Construction,2025-11-11,,TX Residential,https://www.corpuschristi.com
Corpus Christi,Corpus Christi Multifamily Complex 4,725 Avenue St,106,Class B,Under Construction,2025-12-16,,Texas Development Group,https://www.corpuschristi.com
